boxer_name,boxrec_url,boxer_slug,id,boxrec_id
Hector Velazquez,https://boxrec.com/en/box-pro/7879,hector-velazquez,92831,7879
Hedgemon Lewis,https://boxrec.com/en/proboxer/12562,hedgemon-lewis,71986,12562
Hee Eun Gang,https://boxrec.com/en/proboxer/869020,hee-eun-gang,87735,869020
Hee Jae Cho,https://boxrec.com/en/proboxer/360020,hee-jae-cho,81847,360020
Hee Jin Kim,https://boxrec.com/en/proboxer/238670,hee-jin-kim,82884,238670
Hee Yun Jung,https://boxrec.com/en/proboxer/41846,hee-yun-jung,74665,41846
Heinrich Buchbaum,https://boxrec.com/en/proboxer/392625,heinrich-buchbaum,75287,392625
Heivinson Herrera,https://boxrec.com/en/box-pro/319415,heivinson-herrera,92141,319415
Hekkie Budler,https://boxrec.com/en/box-pro/397849,hekkie-budler,94101,397849
Helaman Olguin,https://boxrec.com/en/box-pro/461887,helaman-olguin,93792,461887
Helen Joseph,https://boxrec.com/en/box-pro/367027,helen-joseph,94161,367027
Heleno Ferreira,https://boxrec.com/en/proboxer/16409,heleno-ferreira,71062,16409
Helmut Hinz,https://boxrec.com/en/proboxer/108290,helmut-hinz,88994,108290
Hemed Rashid,https://boxrec.com/en/proboxer/698271,hemed-rashid,70751,698271
Hemedi Habibu,https://boxrec.com/en/box-pro/914307,hemedi-habibu,93819,914307
Hemi Ahio,https://boxrec.com/en/box-pro/679269,hemi-ahio,91911,679269
Hendrik Frikkie Ludick,https://boxrec.com/en/proboxer/194240,hendrik-frikkie-ludick,73326,194240
Henk van den Tak,https://boxrec.com/en/proboxer/54637,henk-van-den-tak,74387,54637
Hennie Muller,https://boxrec.com/en/proboxer/597943,hennie-muller,76578,597943
Henri Bouchard,https://boxrec.com/en/proboxer/108729,henri-bouchard,86995,108729
Henri Guegan,https://boxrec.com/en/proboxer/109863,henri-guegan,86522,109863
Henri Guenette,https://boxrec.com/en/proboxer/82137,henri-guenette,77962,82137
Henri Manga,https://boxrec.com/en/box-pro/1017993,henri-manga,91215,1017993
Henri Moreau,https://boxrec.com/en/proboxer/234963,henri-moreau,89202,234963
Henri Verne,https://boxrec.com/en/proboxer/116152,henri-verne,87393,116152
Henrich Herak,https://boxrec.com/en/proboxer/770350,henrich-herak,80331,770350
Henry Akinwande,https://boxrec.com/en/box-pro/2011,henry-akinwande,91139,2011
Henry Aritonang,https://boxrec.com/en/proboxer/213096,henry-aritonang,71798,213096
Henry Armstrong,https://boxrec.com/en/proboxer/9018,henry-armstrong,70474,9018
Henry Atkins,https://boxrec.com/en/proboxer/333493,henry-atkins,88081,333493
Henry Brown,https://boxrec.com/en/proboxer/1054498,henry-brown,76391,1054498
Henry Carpenter,https://boxrec.com/en/proboxer/34738,henry-carpenter,77815,34738
Henry Carpentier,https://boxrec.com/en/proboxer/261003,henry-carpentier,73693,261003
Henry Chmielewski,https://boxrec.com/en/proboxer/36934,henry-chmielewski,78404,36934
Henry Cooper,https://boxrec.com/en/box-pro/9379,henry-cooper,91149,9379
Henry Cruz,https://boxrec.com/en/proboxer/369372,henry-cruz,81558,369372
