filename,boxer_id,language,issues,url
en_box-pro_5620.html,5620,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/5620
en_box-pro_4031.html,4031,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/4031
en_box-pro_871322.html,871322,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/871322
en_box-pro_480.html,480,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/480
en_box-pro_926898.html,926898,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/926898
en_box-pro_840185.html,840185,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/840185
en_box-pro_796137.html,796137,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/796137
en_box-pro_585569.html,585569,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/585569
en_box-pro_1026719.html,1026719,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/1026719
en_box-pro_46852.html,46852,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/46852
en_box-pro_5698.html,5698,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/5698
en_box-pro_742000.html,742000,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/742000
en_box-pro_1771.html,1771,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/1771
en_box-pro_886826.html,886826,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/886826
en_box-pro_1146000.html,1146000,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/1146000
en_box-pro_253.html,253,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/253
en_box-pro_12130.html,12130,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/12130
en_box-pro_279349.html,279349,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/279349
en_box-pro_856378.html,856378,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/856378
en_box-pro_8045.html,8045,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/8045
en_box-pro_947.html,947,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/947
en_box-pro_1278605.html,1278605,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/1278605
en_box-pro_16364.html,16364,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/16364
en_box-pro_692282.html,692282,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/692282
en_box-pro_560817.html,560817,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/560817
en_box-pro_551.html,551,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/551
en_box-pro_6309.html,6309,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/6309
en_box-pro_661615.html,661615,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/661615
en_box-pro_906556.html,906556,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/906556
en_box-pro_1029478.html,1029478,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/1029478
en_box-pro_5525.html,5525,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/5525
en_box-pro_20743.html,20743,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/20743
en_box-pro_200991.html,200991,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/200991
en_box-pro_506287.html,506287,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/506287
en_box-pro_9785.html,9785,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/9785
en_box-pro_6889.html,6889,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/6889
en_box-pro_421916.html,421916,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/421916
en_box-pro_301332.html,301332,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/301332
en_box-pro_17719.html,17719,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/17719
en_box-pro_326807.html,326807,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/326807
en_box-pro_697.html,697,en,LOGIN_PAGE,https://boxrec.com/en/box-pro/697
